uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1727294133","25 Sep 2024, 19:55","Northern soul dancing","","","","Do I Love You (Frank Wilson)",""
"1727291741","25 Sep 2024, 19:15","OMD","","","","Enola Gay (Virgin Radio Halloween Party)",""
"1727291065","25 Sep 2024, 19:04","Orchestral Manoeuvres in the Dark","6d072aa8-c851-49c5-92f9-cbca05f4bed9","","","Pandora's Box","95029ddd-4fce-4db9-a204-2e95d42900ae"
"1727290742","25 Sep 2024, 18:59","Depeche Mode","8538e728-ca0b-4321-b7e5-cff6565dd4c0","","","Photographic","4309b487-1dd9-32ae-b774-2bd081c8120d"
"1727290332","25 Sep 2024, 18:52","Bronski Beat","","","","Smalltown Boy (12 extended)",""
"1727290122","25 Sep 2024, 18:48","Bronski Beat","","","","Smalltown Boy (12 extended)",""
"1727289849","25 Sep 2024, 18:44","Heaven Must Have Sent You","","","","The Elgins",""
"1727289472","25 Sep 2024, 18:37","Stevie Wonder","1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e","Songs in the Key of Life","0131ea0f-c3af-471c-8274-a183a7ab5f0b","Saturn","57a1604f-703b-43fd-8d65-109fe10df8e3"
"1727289437","25 Sep 2024, 18:37","Modern English","78605d0c-7454-456d-934c-51eb46122566","","","I Melt with You",""
"1727289329","25 Sep 2024, 18:35","Soft Cell","7fb50287-029d-47cc-825a-235ca28024b2","","","Tainted Love","73b418a9-3d65-44c8-9607-49083170db50"
"1727288964","25 Sep 2024, 18:29","Stevie Wonder","1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e","Songs in the Key of Life","0131ea0f-c3af-471c-8274-a183a7ab5f0b","Another Star","7292b312-5381-461b-a1e8-d3de3e2f3709"
"1727288537","25 Sep 2024, 18:22","Stevie Wonder","1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e","Songs in the Key of Life","0131ea0f-c3af-471c-8274-a183a7ab5f0b","As","e081871e-2955-40b4-8df2-db5da51a8523"
"1727288346","25 Sep 2024, 18:19","Stevie Wonder","1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e","Songs in the Key of Life","0131ea0f-c3af-471c-8274-a183a7ab5f0b","If It's Magic","00e92559-7db3-48b1-80b1-a52c1929f393"
"1727288118","25 Sep 2024, 18:15","Stevie Wonder","1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e","Songs in the Key of Life","0131ea0f-c3af-471c-8274-a183a7ab5f0b","Ngiculela-Es Una Historia-I Am Singing","1597abee-151a-34e9-9675-63eae6d46d65"
"1727287610","25 Sep 2024, 18:06","Stevie Wonder","1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e","Songs in the Key of Life","0131ea0f-c3af-471c-8274-a183a7ab5f0b","Black Man","09cb992f-2a81-48fb-8800-9079549a8fbb"
"1727287454","25 Sep 2024, 18:04","Cro","b2ea6506-645e-4935-8d82-84c3a95fe7f0","SPACEJAM EP","","nie weg","b014dd85-aae3-4ed5-bcd4-bf21072205cf"
"1727287065","25 Sep 2024, 17:57","Stevie Wonder","1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e","Songs in the Key of Life","0131ea0f-c3af-471c-8274-a183a7ab5f0b","Joy Inside My Tears","08342e6d-da8f-41fc-9ee3-58d459641848"
"1727286672","25 Sep 2024, 17:51","Stevie Wonder","1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e","Songs in the Key of Life","0131ea0f-c3af-471c-8274-a183a7ab5f0b","Isn't She Lovely",""
"1727286290","25 Sep 2024, 17:44","Stevie Wonder","1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e","Songs in the Key of Life","0131ea0f-c3af-471c-8274-a183a7ab5f0b","Ordinary Pain","0765d145-4b47-3e29-8729-f4ed2bfdaa4b"
"1727286037","25 Sep 2024, 17:40","Stevie Wonder","1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e","Songs in the Key of Life","0131ea0f-c3af-471c-8274-a183a7ab5f0b","Summer Soft","0b6c9959-fdee-4b32-adcd-c3b9d05dfa6b"
"1727285809","25 Sep 2024, 17:36","Nas","cfbc0924-0035-4d6c-8197-f024653af823","Stillmatic","34b0f3e7-a3cd-4ead-9255-8f02af11e956","Got Ur Self a Gun","52250566-35d1-405b-ba03-d6c5fabd1214"
"1727285476","25 Sep 2024, 17:31","Coolio","cc30e630-8c75-4d78-b205-8e2edc6bdaa7","It Takes a Thief","28dc0104-502c-4ae2-9784-4a18e2002eef","Fantastic Voyage","67cc8b92-ee9f-4c8b-8bac-832407b4a6d2"
"1727285142","25 Sep 2024, 17:25","Coolio","cc30e630-8c75-4d78-b205-8e2edc6bdaa7","It Takes a Thief","28dc0104-502c-4ae2-9784-4a18e2002eef","Fantastic Voyage","67cc8b92-ee9f-4c8b-8bac-832407b4a6d2"
"1727284717","25 Sep 2024, 17:18","Stevie Wonder","1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e","Songs in the Key of Life","0131ea0f-c3af-471c-8274-a183a7ab5f0b","Love's in Need of Love Today","d19057fd-e162-401a-8c60-7a31d1ef38f6"
"1727284560","25 Sep 2024, 17:16","Stevie Wonder","1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e","Songs in the Key of Life","0131ea0f-c3af-471c-8274-a183a7ab5f0b","Have a Talk with God","05dedda2-7b7d-4529-a7de-287b80ecfd9e"
"1727284352","25 Sep 2024, 17:12","Stevie Wonder","1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e","Songs in the Key of Life","0131ea0f-c3af-471c-8274-a183a7ab5f0b","Pastime Paradise","bd8c2adf-51c9-4f42-a82f-39ede534cb8d"
"1727245452","25 Sep 2024, 06:24","Ty Dolla $ign","7bd66c18-cb33-49aa-9279-140acedbdb49","Beach House 3 (Deluxe Edition)","","Droptop in the Rain (feat. Tory Lanez)",""
